인허가등록번호,등록일자,공연장명칭,공연장소재지(지번),전화번호,객석수,상태구분,영업상태,폐업일자,휴업시작일자,휴업종료일자
23000-2003-000004,20030530,환상의 오딧세이,서울특별시 송파구 잠실동  40번지 1호  ,,292,1,영업중,,,
23000-2005-000001,20051102,롯데월드 예술극장,서울특별시 송파구 잠실동  40번지 1   호  ,,466,1,영업중,,,
23000-2006-000001,20061011,샤롯데 씨어터,서울특별시 송파구 잠실동  40번지 1호  ,411-5020,1227,1,영업중,,,
23000-2008-000001,20081015,빅탑,서울특별시 송파구 잠실동  10번지  ,,,1,영업중,,,
23000-2009-000001,20090825,우리금융아트홀(올림픽역도경기장),서울특별시 송파구 방이동  88번지  ,410-1531,1184,1,영업중,,,
23000-2011-000001,20110209,가든파이브아트홀,서울특별시 송파구 문정동  516번지  가든파이브라이프10층 Y-10001,02-2157-4015,270,3,폐업,20151125,,
23000-2011-000002,20110406,태양의서커스바레카이빅탑공연장,서울특별시 송파구 잠실동  10번지  종합운동장 내,425-6235,2573,3,폐업,20110617,,
23000-2011-000003,20110718,올림픽홀,서울특별시 송파구 방이동  88번지 2호  올림픽공원내,410-1568,2452,1,영업중,,,
23000-2011-000004,20110718,뮤즈 라이브,서울특별시 송파구 방이동  88번지 2호  올림픽공원내,410-1568,240,1,영업중,,,
23000-2011-000005,20111228,엔씨소극장,서울특별시 송파구 문정동  516번지  가든파이브라이프영관6층,02-350-7942,,3,폐업,,,
23000-2012-000001,20121113,K-아트홀(태권도공연장),서울특별시 송파구 방이동  88번지 2호  ,02)410-1568,493,1,영업중,,,
23000-2014-000001,20141020,HARD ROCK CAFE,서울특별시 송파구 신천동  29번지  롯데월드몰 5~6층,02-418-7625,302,3,폐업,20150605,,
23000-2014-000002,20141111,Cabalia,서울특별시 송파구 잠실동  10번지  ,,2004,3,폐업,20141230,,
23000-2015-000001,20150611,DNG HALL(디앤지 홀),서울특별시 송파구 방이동  124번지 12호  대원빌딩 지하,,250,1,영업중,,,
23000-2015-000002,20150910,태양의서커스 퀴담 빅탑공연장,서울특별시 송파구 잠실동  10번지  서울종합운동장 내,02-516-8360,2401,3,폐업,20151113,,
23000-2016-000001,20160308,롯데콘서트홀,서울특별시 송파구 신천동  29번지  ,02-3213-3110,2036,1,영업중,,,
23000-2016-000002,20160317,서울놀이마당,서울특별시 송파구 잠실동  47번지  서울놀이마당,02-410-3410,1750,3,폐업,20170414,,
23000-2016-000003,20160317,송파구민회관 대극장,서울특별시 송파구 삼전동  62번지 2호  송파구의회및구민회관,02-2147-3560,607,3,폐업,20140415,,
23000-2018-000001,20180831,WS Music Hall,서울특별시 송파구 잠실동  209번지 11호  ,,60,1,영업중,,,
23000-2018-000002,20181031,태양의서커스 '쿠자',서울특별시 송파구 잠실동  10번지  서울종합운동장,02-516-8360,2401,3,폐업,20190109,,
23000-2019-000001,20190610,아트홀제이,서울특별시 송파구 방이동  45번지 2호  금복빌딩,,30,1,영업중,,,
23000-2019-000002,20191227,잠실종합운동장 <위윌락유> 전용 로열씨어터,서울특별시 송파구 잠실동  10번지  서울종합운동장,7077295070,1487,1,영업중,,,
23000-2020-000001,20200421,송파브이아트홀,서울특별시 송파구 거여동  37번지  위례빌딩,02-443-7765,101,1,영업중,,,
23000-1960-000001,19601029,천호시네마,서울특별시 강동구 천호동  425번지 17호  ,,,1,영업중,,,
23000-1983-000001,19830203,강동비디오소극장,서울특별시 강동구 천호동  420번지 1호  ,,,1,영업중,,,
23000-1986-000001,19860506,유니버스소극장,서울특별시 강동구 성내동  9번지 5호  ,,,1,영업중,,,
23000-1992-000001,19920724,한일시네마1관,서울특별시 강동구 성내동  48번지 1호  ,,,1,영업중,,,
23000-1992-000002,19920724,한일시네마2관,서울특별시 강동구 성내동  48번지 1호  ,,,1,영업중,,,
23000-1995-000001,19951127,씨네월드2관,서울특별시 강동구 성내동  549번지 1호  ,,,1,영업중,,,
23000-1995-000002,19951127,씨네월드3관,서울특별시 강동구 성내동  549번지 1호  ,,,1,영업중,,,
23000-1995-000003,19951127,씨네월드4관,서울특별시 강동구 성내동  549번지 1호  ,,,1,영업중,,,
23000-1995-000004,19951127,씨네월드아트홀,서울특별시 강동구 성내동  549번지 1호  ,,,1,영업중,,,
23000-1998-000001,19980122,한일시네마3관,서울특별시 강동구 성내동  48번지 1호  ,,,1,영업중,,,
23000-1999-000001,19990604,씨네월드5관,서울특별시 강동구 성내동  549번지 1호  6층,,,1,영업중,,,
23000-1999-000002,19990604,씨네월드6관,서울특별시 강동구 성내동  549번지 1호  6층,,,1,영업중,,,
23000-2000-000001,20000616,한일시네마4관,서울특별시 강동구 성내동  48번지 1호  ,,,1,영업중,,,
23000-2000-000002,20000616,한일시네마5관,서울특별시 강동구 성내동  48번지 1호  ,,,1,영업중,,,
23000-2000-000003,20000616,한일시네마6관,서울특별시 강동구 성내동  48번지 1호  ,,,1,영업중,,,
23000-2007-000001,20070820,강동어린이회관 아이누리홀,서울특별시 강동구 성내동  556번지 1호  ,486-2516~8,176,1,영업중,,,
23000-2009-000001,20090803,암사어린이극장,서울특별시 강동구 암사동  116번지 22호  ,02-481-8808,287,1,영업중,,,
23000-2011-000001,20110128,강동아트센터 대극장 한강,서울특별시 강동구 상일동  산 46번지 2호  ,24801605,850,1,영업중,,,
23000-2011-000002,20110128,강동아트센터 소극장 드림,서울특별시 강동구 상일동  산 46번지 2호  ,02-480-1605,250,1,영업중,,,
23000-2012-000001,20121206,호원아트홀,서울특별시 강동구 성내동  435번지 9호  ,02-470-9191,456,1,영업중,,,
